Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
OJEIIDGO_03696	-	GH73(118-246)	-	-	N	1
OJEIIDGO_03780	-	GH177(38-379)	-	-	N	1
OJEIIDGO_03785	-	GH179(92-259)	-	-	Y(1-30)	1
OJEIIDGO_03790	-	GH43_28(19-289)+CBM32(332-445)	-	-	N	1
OJEIIDGO_03830	-	GH102(195-303)	-	-	N	1
OJEIIDGO_03853	-	GT2(14-137)	-	-	N	1
OJEIIDGO_03854	-	GT2(6-124)	-	-	N	1
OJEIIDGO_03855	-	GT4(215-363)	-	-	N	1
OJEIIDGO_03889	-	GH13_3(219-437)	-	-	N	1
OJEIIDGO_03930	-	GT2(4-189)	-	-	N	1
OJEIIDGO_03951	-	GT2(9-168)	-	-	N	1
OJEIIDGO_03962	-	CE1(34-237)	-	-	Y(1-19)	1
